Data Set 1:Time(s),Data Set 1:Temperature 1(Â°C),Data Set 1:Temperature 2(Â°C)
0.0,21.0,21.0
0.1,21.0,21.0
0.2,21.0,21.0
0.3,21.0,21.0
0.4,21.0,21.0
0.5,21.0,21.0
0.6,21.0,21.0
0.7,21.1,21.0
0.8,21.0,21.0
0.9,21.0,21.0
1.0,21.0,21.0
1.1,21.0,21.0
1.2,21.2,21.2
1.3,21.0,21.1
1.4,21.0,21.0
1.5,21.1,21.0
1.6,21.0,21.0
1.7,21.0,21.1
1.8,21.0,21.0
1.9,21.1,21.1
2.0,21.0,21.0
2.1,21.0,21.0
2.2,21.0,21.0
2.3,21.1,21.0
2.4,21.1,21.1
2.5,21.0,21.1
2.6,21.0,21.0
2.7,21.1,21.0
2.8,21.1,21.0
2.9,21.0,21.0
3.0,21.1,21.0
3.1,21.0,21.0
3.2,21.1,21.1
3.3,21.0,21.0
3.4,21.1,21.0
3.5,21.1,21.1
3.6,21.1,21.1
3.7,21.1,21.0
3.8,21.0,21.0
3.9,21.1,21.1
4.0,21.0,21.0
4.1,21.0,21.0
4.2,21.3,21.1
4.3,21.0,21.1
4.4,21.1,21.0
4.5,21.1,21.0
4.6,21.2,21.1
4.7,21.1,21.0
4.8,21.1,21.0
4.9,21.1,21.1
5.0,21.2,21.0
5.1,21.1,21.0
5.2,21.1,21.1
5.3,21.1,21.1
5.4,21.1,21.1
5.5,21.1,21.1
5.6,21.1,21.1
5.7,21.1,21.1
5.8,21.1,21.1
5.9,21.1,21.1
6.0,21.2,21.1
6.1,21.2,21.1
6.2,21.2,21.2
6.3,21.2,21.1
6.4,21.3,21.3
6.5,21.2,21.2
6.6,21.3,21.2
6.7,21.6,21.3
6.8,21.3,21.2
6.9,21.3,21.2
7.0,21.4,21.2
7.1,21.3,21.3
7.2,21.4,21.3
7.3,21.7,21.5
7.4,21.6,21.3
7.5,21.6,21.3
7.6,21.6,21.2
7.7,21.7,21.3
7.8,21.7,21.4
7.9,22.1,21.5
8.0,21.8,21.4
8.1,21.9,21.4
8.2,22.0,21.4
8.3,22.0,21.4
8.4,22.1,21.5
8.5,22.1,21.5
8.6,22.1,21.5
8.7,22.2,21.5
8.8,22.2,21.5
8.9,22.3,21.6
9.0,22.3,21.5
9.1,22.4,21.6
9.2,22.5,21.6
9.3,22.5,21.6
9.4,22.7,21.7
9.5,22.7,21.7
9.6,22.7,21.7
9.7,22.8,21.8
9.8,23.0,21.9
9.9,23.0,21.8
10.0,23.1,21.8
10.1,23.3,21.9
10.2,23.2,21.9
10.3,23.2,21.8
10.4,23.2,21.9
10.5,23.5,22.0
10.6,23.4,21.9
10.7,23.5,21.9
10.8,23.5,21.9
10.9,23.5,21.9
11.0,23.6,21.9
11.1,23.7,21.9
11.2,23.8,22.2
11.3,23.8,22.0
11.4,23.8,22.0
11.5,24.0,22.0
11.6,24.0,22.1
11.7,24.2,22.1
11.8,24.2,22.1
11.9,24.2,22.1
12.0,24.2,22.2
12.1,24.2,22.2
12.2,24.3,22.2
12.3,24.4,22.2
12.4,24.5,22.2
12.5,24.7,22.3
12.6,24.6,22.3
12.7,24.6,22.3
12.8,24.6,22.3
12.9,24.7,22.4
13.0,25.1,22.5
13.1,24.9,22.5
13.2,25.2,22.5
13.3,25.1,22.5
13.4,25.1,22.5
13.5,25.2,22.5
13.6,25.2,22.6
13.7,25.3,22.7
13.8,25.3,22.6
13.9,25.6,22.8
14.0,25.3,22.7
14.1,25.4,22.7
14.2,25.5,22.7
14.3,25.5,22.8
14.4,25.6,22.8
14.5,25.6,22.8
14.6,25.6,22.9
14.7,25.7,22.9
14.8,25.8,22.9
14.9,25.7,22.9
15.0,25.9,22.9
15.1,25.8,22.9
15.2,26.0,23.0
15.3,26.0,23.0
15.4,26.1,23.1
15.5,26.1,23.0
15.6,26.2,23.2
15.7,26.2,23.2
15.8,26.3,23.3
15.9,26.3,23.3
16.0,26.3,23.3
16.1,26.4,23.3
16.2,26.5,23.3
16.3,26.5,23.4
16.4,26.7,23.4
16.5,26.7,23.4
16.6,27.1,23.7
16.7,26.8,23.5
16.8,26.9,23.6
16.9,27.0,23.7
17.0,27.0,23.7
17.1,27.2,23.8
17.2,27.2,23.8
17.3,27.2,23.8
17.4,27.4,23.9
17.5,27.4,23.9
17.6,27.4,23.8
17.7,27.5,23.9
17.8,27.7,23.9
17.9,27.7,24.0
18.0,27.8,24.0
18.1,27.9,24.0
18.2,28.0,24.0
18.3,28.1,24.1
18.4,28.2,24.1
18.5,28.3,24.2
18.6,28.3,24.2
18.7,28.4,24.2
18.8,28.4,24.2
18.9,28.5,24.4
19.0,28.8,24.4
19.1,28.6,24.4
19.2,28.6,24.5
19.3,28.7,24.4
19.4,28.7,24.5
19.5,28.9,24.5
19.6,28.9,24.5
19.7,29.1,24.7
19.8,29.0,24.7
19.9,29.1,24.7
20.0,29.1,24.7
20.1,29.2,24.8
20.2,29.3,24.8
20.3,29.4,24.8
20.4,29.4,24.8
20.5,29.5,24.8
20.6,29.6,24.8
20.7,29.6,24.8
20.8,29.7,24.9
20.9,29.8,25.2
21.0,30.0,24.9
21.1,30.1,25.0
21.2,30.2,25.1
21.3,30.2,25.1
21.4,30.3,25.2
21.5,30.4,25.2
21.6,30.5,25.2
21.7,30.5,25.2
21.8,30.5,25.3
21.9,30.7,25.4
22.0,30.7,25.4
22.1,30.8,25.4
22.2,30.9,25.4
22.3,31.0,25.5
22.4,31.2,25.7
22.5,31.1,25.5
22.6,31.2,25.7
22.7,31.2,25.7
22.8,31.3,25.7
22.9,31.4,25.7
23.0,31.6,25.9
23.1,31.5,25.8
23.2,31.5,25.8
23.3,31.6,25.8
23.4,31.6,25.8
23.5,31.9,26.1
23.6,31.7,25.9
23.7,31.8,25.9
23.8,31.9,26.0
23.9,32.1,26.2
24.0,31.9,26.1
24.1,31.9,26.0
24.2,32.0,26.1
24.3,32.1,26.1
24.4,32.2,26.2
24.5,32.2,26.2
24.6,32.4,26.4
24.7,32.3,26.3
24.8,32.3,26.2
24.9,32.4,26.3
25.0,32.6,26.3
25.1,32.7,26.5
25.2,32.9,26.6
25.3,32.7,26.4
25.4,32.7,26.4
25.5,32.7,26.4
25.6,32.8,26.5
25.7,32.9,26.5
25.8,33.0,26.6
25.9,32.9,26.6
26.0,33.0,26.6
26.1,33.0,26.7
26.2,33.0,26.7
26.3,33.1,26.7
26.4,33.2,26.7
26.5,33.1,26.7
26.6,33.3,26.7
26.7,33.3,26.7
26.8,33.3,26.8
26.9,33.4,26.8
27.0,33.5,26.8
27.1,33.4,26.8
27.2,33.5,26.9
27.3,33.5,26.9
27.4,33.6,26.9
27.5,33.7,26.9
27.6,33.7,26.9
27.7,33.7,26.9
27.8,33.7,27.0
27.9,33.7,27.0
28.0,33.8,27.0
28.1,33.8,27.1
28.2,33.8,27.0
28.3,33.8,27.1
28.4,33.8,27.1
28.5,33.8,27.2
28.6,33.9,27.2
28.7,34.0,27.2
28.8,33.9,27.2
28.9,34.0,27.3
29.0,34.0,27.3
29.1,34.0,27.3
29.2,34.1,27.3
29.3,34.1,27.3
29.4,34.1,27.4
29.5,34.4,27.6
29.6,34.2,27.4
29.7,34.1,27.4
29.8,34.2,27.5
29.9,34.3,27.5
30.0,34.1,27.7
30.1,34.3,27.6
30.2,34.3,27.6
30.3,34.2,27.8
30.4,34.3,27.6
30.5,34.3,27.7
30.6,34.3,27.7
30.7,34.4,27.7
30.8,34.4,27.7
30.9,34.3,27.7
31.0,34.4,27.8
31.1,34.4,27.8
31.2,34.4,27.8
31.3,34.4,27.8
31.4,34.4,27.8
31.5,34.4,27.8
31.6,34.4,27.8
31.7,34.5,27.8
31.8,34.5,27.8
31.9,34.5,27.8
32.0,34.6,27.9
32.1,34.8,28.0
32.2,34.5,28.0
32.3,34.5,27.9
32.4,34.4,27.9
32.5,34.5,27.9
32.6,34.8,28.1
32.7,34.5,27.9
32.8,34.5,28.0
32.9,34.5,28.0
33.0,34.5,28.0
33.1,34.5,28.0
33.2,34.5,28.0
33.3,34.5,28.1
33.4,34.5,28.1
33.5,34.5,28.1
33.6,34.8,28.3
33.7,34.6,28.1
33.8,34.5,28.1
33.9,34.8,28.3
34.0,34.5,28.1
34.1,34.5,28.1
34.2,34.5,28.2
34.3,34.5,28.1
34.4,34.4,28.2
34.5,34.4,28.3
34.6,34.5,28.2
34.7,34.5,28.3
34.8,34.6,28.4
34.9,34.4,28.3
35.0,34.4,28.3
35.1,34.5,28.3
35.2,34.4,28.3
35.3,34.5,28.4
35.4,34.4,28.3
35.5,34.4,28.3
35.6,34.5,28.4
35.7,34.4,28.4
35.8,34.4,28.4
35.9,34.4,28.4
36.0,34.4,28.4
36.1,34.4,28.5
36.2,34.4,28.4
36.3,34.5,28.6
36.4,34.4,28.5
36.5,34.5,28.5
36.6,34.4,28.5
36.7,34.4,28.5
36.8,34.4,28.6
36.9,34.3,28.5
37.0,34.3,28.6
37.1,34.3,28.6
37.2,34.4,28.6
37.3,34.3,28.6
37.4,34.5,28.8
37.5,34.3,28.6
37.6,34.3,28.6
37.7,34.2,28.6
37.8,34.2,28.6
37.9,34.3,28.7
38.0,34.1,28.7
38.1,34.5,28.8
38.2,34.2,28.7
38.3,34.2,28.7
38.4,34.1,28.7
38.5,34.2,28.7
38.6,34.2,28.8
38.7,34.1,28.8
38.8,34.1,28.8
38.9,34.1,28.8
39.0,34.1,28.8
39.1,34.4,28.9
39.2,34.1,28.8
39.3,34.1,28.8
39.4,34.0,28.8
39.5,34.4,28.9
39.6,34.1,28.8
39.7,34.0,28.8
39.8,34.0,28.8
39.9,34.0,28.8
40.0,34.0,28.8
40.1,34.2,28.8
40.2,34.0,28.8
40.3,34.1,28.8
40.4,34.0,28.8
40.5,34.0,28.8
40.6,34.0,28.8
40.7,34.0,28.8
40.8,34.0,28.8
40.9,34.0,28.9
41.0,34.3,29.1
41.1,34.0,28.8
41.2,34.0,28.9
41.3,34.0,28.9
41.4,34.0,28.9
41.5,34.3,29.1
41.6,34.0,29.0
41.7,34.0,29.0
41.8,34.0,29.0
41.9,34.2,29.2
42.0,34.0,29.0
42.1,34.0,29.0
42.2,33.9,29.0
42.3,33.9,29.0
42.4,33.9,29.0
42.5,33.8,29.0
42.6,33.8,29.0
42.7,33.9,29.1
42.8,34.1,29.2
42.9,33.8,29.0
43.0,33.8,29.1
43.1,33.8,29.1
43.2,33.8,29.1
43.3,33.8,29.1
43.4,33.8,29.1
43.5,33.8,29.1
43.6,33.8,29.1
43.7,33.9,29.1
43.8,33.8,29.1
43.9,33.8,29.1
44.0,33.8,29.2
44.1,33.8,29.1
44.2,33.8,29.1
44.3,34.0,29.2
44.4,33.8,29.1
44.5,33.8,29.2
44.6,33.8,29.2
44.7,33.8,29.2
44.8,33.8,29.1
44.9,33.8,29.2
45.0,33.8,29.2
45.1,33.8,29.2
45.2,33.8,29.2
45.3,33.7,29.2
45.4,33.8,29.2
45.5,34.0,29.4
45.6,33.8,29.3
45.7,33.7,29.2
45.8,33.8,29.5
45.9,33.9,29.5
46.0,33.7,29.3
46.1,33.7,29.3
46.2,33.7,29.2
46.3,33.8,29.5
46.4,33.7,29.3
46.5,33.7,29.3
46.6,33.7,29.2
46.7,33.7,29.3
46.8,33.7,29.3
46.9,33.7,29.4
47.0,33.6,29.2
47.1,33.6,29.3
47.2,33.6,29.3
47.3,33.6,29.3
47.4,33.5,29.3
47.5,33.5,29.3
47.6,33.5,29.3
47.7,33.6,29.3
47.8,33.5,29.4
47.9,33.6,29.4
48.0,33.4,29.4
48.1,33.6,29.5
48.2,33.4,29.4
48.3,33.4,29.4
48.4,33.4,29.4
48.5,33.4,29.5
48.6,33.4,29.3
48.7,33.4,29.5
48.8,33.4,29.5
48.9,33.4,29.4
49.0,33.4,29.4
49.1,33.4,29.4
49.2,33.6,29.6
49.3,33.4,29.4
49.4,33.4,29.5
49.5,33.4,29.4
49.6,33.3,29.5
49.7,33.4,29.5
49.8,33.3,29.5
49.9,33.4,29.4
50.0,33.3,29.4
50.1,33.3,29.5
50.2,33.3,29.5
50.3,33.3,29.5
50.4,33.7,29.6
50.5,33.3,29.5
50.6,33.3,29.5
50.7,33.4,29.5
50.8,33.3,29.5
50.9,33.3,29.5
51.0,33.3,29.5
51.1,33.6,29.7
51.2,33.3,29.5
51.3,33.3,29.5
51.4,33.3,29.5
51.5,33.4,29.5
51.6,33.3,29.5
51.7,33.3,29.5
51.8,33.3,29.5
51.9,33.3,29.5
52.0,33.6,29.6
52.1,33.3,29.5
52.2,33.3,29.6
52.3,33.4,29.6
52.4,33.3,29.5
52.5,33.3,29.6
52.6,33.3,29.6
52.7,33.3,29.5
52.8,33.3,29.5
52.9,33.3,29.6
53.0,33.2,29.5
53.1,33.3,29.5
53.2,33.1,29.6
53.3,33.3,29.6
53.4,33.2,29.6
53.5,33.2,29.5
53.6,33.1,29.6
53.7,33.2,29.6
53.8,33.4,29.7
53.9,33.2,29.5
54.0,33.2,29.5
54.1,33.2,29.6
54.2,33.2,29.6
54.3,33.2,29.6
54.4,33.1,29.6
54.5,33.4,29.7
54.6,33.1,29.6
54.7,33.1,29.6
54.8,33.2,29.6
54.9,33.1,29.5
55.0,33.1,29.6
55.1,33.1,29.6
55.2,33.0,29.6
55.3,33.1,29.6
55.4,33.0,29.6
55.5,33.0,29.6
55.6,33.1,29.6
55.7,33.3,29.7
55.8,33.1,29.6
55.9,33.0,29.6
56.0,33.0,29.5
56.1,33.0,29.6
56.2,33.0,29.6
56.3,33.1,29.6
56.4,33.0,29.6
56.5,33.0,29.6
56.6,33.0,29.6
56.7,33.0,29.6
56.8,33.0,29.6
56.9,33.0,29.6
57.0,33.0,29.6
57.1,33.0,29.6
57.2,33.1,29.6
57.3,33.0,29.6
57.4,33.0,29.6
57.5,33.0,29.6
57.6,33.2,29.8
57.7,33.0,29.6
57.8,33.0,29.6
57.9,33.0,29.6
58.0,33.0,29.6
58.1,33.0,29.6
58.2,33.0,29.6
58.3,33.0,29.6
58.4,32.9,29.6
58.5,33.0,29.6
58.6,33.3,29.8
58.7,33.0,29.6
58.8,33.0,29.6
58.9,33.0,29.6
59.0,33.0,29.8
59.1,32.9,29.6
59.2,33.0,29.6
59.3,33.0,29.6
59.4,32.9,29.6
59.5,32.9,29.6
59.6,33.1,29.8
59.7,32.9,29.6
59.8,32.9,29.6
59.9,33.0,29.6
60.0,32.9,29.6
60.1,32.9,29.6
60.2,33.0,29.6
60.3,32.9,29.6
60.4,32.9,29.6
60.5,32.9,29.6
60.6,32.9,29.7
60.7,33.1,29.8
60.8,32.9,29.7
60.9,32.9,29.6
61.0,33.0,29.6
61.1,32.9,29.7
61.2,32.9,29.6
61.3,32.9,29.6
61.4,32.9,29.6
61.5,32.9,29.7
61.6,33.0,29.7
61.7,33.2,29.8
61.8,32.9,29.6
61.9,32.9,29.6
62.0,33.1,29.8
62.1,32.9,29.6
62.2,32.8,29.7
62.3,32.9,29.6
62.4,32.9,29.7
62.5,32.9,29.7
62.6,32.9,29.7
62.7,32.9,29.6
62.8,32.9,29.6
62.9,32.8,29.6
63.0,32.8,29.6
63.1,32.9,29.8
63.2,32.8,29.6
63.3,33.1,29.8
63.4,32.8,29.6
63.5,32.9,29.6
63.6,32.8,29.6
63.7,32.8,29.7
63.8,32.9,29.6
63.9,33.0,29.7
64.0,32.8,29.6
64.1,32.8,29.6
64.2,32.8,29.6
64.3,32.8,29.6
64.4,32.8,29.6
64.5,32.8,29.7
64.6,32.9,29.6
64.7,33.0,29.7
64.8,32.8,29.6
64.9,32.8,29.6
65.0,32.8,29.6
65.1,32.8,29.6
65.2,32.9,29.6
65.3,32.8,29.6
65.4,32.8,29.6
65.5,32.8,29.6
65.6,32.8,29.6
65.7,33.0,29.8
65.8,32.8,29.7
65.9,32.8,29.6
66.0,32.8,29.6
66.1,32.8,29.6
66.2,32.8,29.6
66.3,32.8,29.6
66.4,33.0,29.8
66.5,32.8,29.6
66.6,32.8,29.6
66.7,32.8,29.6
66.8,32.8,29.7
66.9,32.8,29.6
67.0,32.8,29.6
67.1,32.8,29.6
67.2,32.8,29.6
67.3,33.0,29.8
67.4,32.8,29.6
67.5,32.8,29.6
67.6,32.8,29.7
67.7,32.8,29.6
67.8,32.8,29.6
67.9,32.9,29.7
68.0,32.7,29.6
68.1,32.8,29.6
68.2,32.8,29.7
68.3,32.8,29.6
68.4,32.7,29.7
68.5,33.0,29.8
68.6,32.7,29.6
68.7,32.9,29.7
68.8,32.7,29.6
68.9,32.7,29.6
69.0,32.7,29.6
69.1,32.7,29.6
69.2,32.7,29.6
69.3,32.7,29.6
69.4,32.7,29.6
69.5,32.7,29.6
69.6,33.0,29.8
69.7,32.7,29.6
69.8,32.7,29.6
69.9,32.7,29.6
70.0,32.9,29.8
70.1,32.7,29.6
70.2,32.7,29.6
70.3,32.7,29.6
70.4,32.7,29.6
70.5,32.7,29.7
70.6,32.8,29.6
70.7,32.7,29.6
70.8,32.9,29.7
70.9,32.7,29.6
71.0,32.7,29.6
71.1,32.7,29.6
71.2,32.7,29.6
71.3,32.7,29.7
71.4,32.7,29.6
71.5,32.7,29.6
71.6,32.7,29.7
71.7,32.7,29.7
71.8,32.7,29.6
71.9,32.7,29.6
72.0,32.7,29.6
72.1,32.7,29.7
72.2,32.7,29.6
72.3,32.7,29.6
72.4,32.7,29.6
72.5,32.7,29.6
72.6,32.7,29.7
72.7,32.7,29.6
72.8,32.7,29.6
72.9,32.7,29.6
73.0,32.8,29.7
73.1,32.9,29.8
73.2,32.7,29.6
73.3,32.7,29.7
73.4,32.7,29.6
73.5,32.9,29.8
73.6,32.7,29.7
73.7,32.7,29.6
73.8,32.7,29.6
73.9,32.7,29.6
74.0,32.7,29.6
74.1,32.7,29.6
74.2,32.7,29.6
74.3,32.7,29.7
74.4,32.7,29.6
74.5,33.0,29.8
74.6,32.7,29.6
74.7,32.7,29.7
74.8,32.9,29.8
74.9,32.7,29.7
75.0,32.7,29.6
75.1,32.7,29.6
75.2,32.7,29.6
75.3,32.7,29.6
75.4,32.9,29.8
75.5,32.7,29.6
75.6,32.7,29.6
75.7,32.7,29.7
75.8,32.7,29.6
75.9,32.7,29.6
76.0,32.9,29.8
76.1,32.7,29.7
76.2,32.7,29.7
76.3,32.9,29.8
76.4,32.7,29.6
76.5,32.7,29.6
76.6,32.7,29.6
76.7,32.6,29.8
76.8,32.7,29.6
76.9,32.7,29.6
77.0,32.7,29.7
77.1,32.7,29.7
77.2,32.7,29.7
77.3,32.7,29.6
77.4,32.7,29.7
77.5,32.7,29.6
77.6,32.7,29.6
77.7,32.7,29.7
77.8,32.7,29.7
77.9,32.7,29.7
78.0,32.7,29.6
78.1,32.8,29.8
78.2,32.7,29.6
78.3,32.7,29.6
78.4,32.6,29.6
78.5,32.6,29.6
78.6,32.7,29.6
78.7,32.7,29.6
78.8,32.7,29.6
78.9,32.6,29.6
79.0,32.7,29.6
79.1,32.7,29.7
79.2,32.6,29.6
79.3,32.7,29.8
79.4,32.6,29.6
79.5,32.6,29.6
79.6,32.6,29.6
79.7,32.7,29.6
79.8,32.9,29.8
79.9,32.7,29.6
80.0,32.6,29.7
80.1,32.7,29.7
80.2,32.7,29.7
80.3,32.7,29.7
80.4,32.6,29.7
80.5,32.6,29.7
80.6,32.9,29.8
80.7,32.7,29.6
80.8,32.7,29.6
80.9,32.7,29.6
81.0,32.9,29.8
81.1,32.6,29.6
81.2,32.6,29.7
81.3,32.9,29.8
81.4,32.7,29.6
81.5,32.7,29.6
81.6,32.6,29.7
81.7,32.6,29.6
81.8,32.6,29.8
81.9,32.6,29.6
82.0,32.6,29.7
82.1,32.6,29.7
82.2,32.6,29.7
82.3,32.7,29.6
82.4,32.6,29.7
82.5,32.7,29.7
82.6,32.7,29.7
82.7,32.7,29.6
82.8,32.7,29.6
82.9,32.7,29.7
83.0,32.9,29.8
83.1,32.6,29.7
83.2,32.9,29.8
83.3,32.9,29.8
83.4,32.6,29.7
83.5,32.6,29.6
83.6,32.6,29.6
83.7,32.7,29.7
83.8,32.7,29.6
83.9,32.7,29.7
84.0,32.7,29.7
84.1,32.7,29.8
84.2,32.6,29.8
84.3,32.6,29.7
84.4,32.6,29.7
84.5,32.9,29.8
84.6,32.7,29.6
84.7,32.7,29.7
84.8,32.6,29.7
84.9,32.6,29.7
85.0,32.7,29.7
85.1,32.6,29.8
85.2,32.6,29.7
85.3,32.7,29.8
85.4,32.6,29.8
85.5,32.6,29.7
85.6,32.8,29.8
85.7,32.6,29.7
85.8,32.6,29.7
85.9,32.7,29.8
86.0,32.7,29.7
86.1,32.6,29.7
86.2,32.6,29.7
86.3,32.6,29.8
86.4,32.6,29.7
86.5,32.6,29.7
86.6,32.6,29.6
86.7,32.6,29.7
86.8,32.6,29.7
86.9,32.7,29.7
87.0,32.7,29.7
87.1,32.6,29.8
87.2,32.6,29.8
87.3,32.6,29.7
87.4,32.7,29.7
87.5,32.6,29.8
87.6,32.6,29.7
87.7,32.6,29.7
87.8,32.6,29.7
87.9,32.6,29.8
88.0,32.7,29.8
88.1,32.6,29.7
88.2,32.6,29.8
88.3,32.7,29.7
88.4,32.6,29.7
88.5,32.8,29.9
88.6,32.6,29.8
88.7,32.6,29.7
88.8,32.6,29.7
88.9,32.6,29.7
89.0,32.6,29.8
89.1,32.8,29.8
89.2,32.6,29.8
89.3,32.6,29.8
89.4,32.6,29.8
89.5,32.6,29.7
89.6,32.6,29.8
89.7,32.6,29.8
89.8,32.6,29.7
89.9,32.6,29.7
90.0,32.6,29.7
90.1,32.7,29.7
90.2,32.6,29.8
90.3,32.8,29.8
90.4,32.6,29.7
90.5,32.6,29.7
90.6,32.6,29.8
90.7,32.6,29.8
90.8,32.6,29.8
90.9,32.6,29.8
91.0,32.7,29.8
91.1,32.6,29.7
91.2,32.6,29.8
91.3,32.6,29.7
91.4,32.8,29.8
91.5,32.6,29.8
91.6,32.6,29.8
91.7,32.6,29.7
91.8,32.6,29.7
91.9,32.6,29.8
92.0,32.6,29.8
92.1,32.6,29.8
92.2,32.6,29.8
92.3,32.7,29.8
92.4,32.6,29.8
92.5,32.6,29.7
92.6,32.7,29.8
